question,answer
What is Artificial Intelligence?,AI is when computers can think like people.
What is Artificial Intelligence?,It means robots can talk and walk.
What is Artificial Intelligence?,AI is a machine that does what we tell it.
What is Artificial Intelligence?,When machines learn and solve problems.
What is Artificial Intelligence?,It is about smart computers.
Give one example of AI.,Siri on my phone.
Give one example of AI.,My mom’s washing machine.
Give one example of AI.,ChatGPT is AI.
Give one example of AI.,A toy car.
Give one example of AI.,Self-driving car.
How can AI help people?,It helps doctors find sickness.
How can AI help people?,It helps in games.
How can AI help people?,It makes robots.
How can AI help people?,It can help teachers check homework.
How can AI help people?,It helps people work faster.
What are robots?,Robots are machines that can move.
What are robots?,Robots are people with metal arms.
What are robots?,Robots help clean and cook.
What are robots?,They are toys.
What are robots?,They are computers that can do tasks.
Can AI make mistakes?,Sometimes yes when it doesn’t understand.
Can AI make mistakes?,AI can do everything.
Can AI make mistakes?,Maybe if we teach wrong.
What is machine learning?,It is when computers learn from data.
What is machine learning?,It is when we play with machines.
What is machine learning?,When computer gets smarter by itself.
What is machine learning?,Teaching computers to do jobs.
What is machine learning?,Making robot move.
Where can we see AI around us?,In phones and cars.
Where can we see AI around us?,In computers only.
Where can we see AI around us?,In Google Maps and YouTube.
Where can we see AI around us?,At home and school.
Where can we see AI around us?,In the sky.
Why do we need AI?,To make life easier.
Why do we need AI?,Because it is cool.
Why do we need AI?,To help people and save time.
Why do we need AI?,To build robots.
Why do we need AI?,For fun games.
What can AI not do?,It cannot feel emotions.
What can AI not do?,It cannot love or cry.
What can AI not do?,It can do everything humans can.
What can AI not do?,It cannot think like people.
What can AI not do?,It cannot eat.
How can we use AI safely?,By using it with rules.
How can we use AI safely?,Don’t share personal data.
How can we use AI safely?,By turning it off.
How can we use AI safely?,Never use AI.
How can we use AI safely?,Ask teacher before using.
